 
 Stellar Parameters:
 ==================
 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.058700067965E+10  1.030636236693E+03  7.580774202314E-13  2.793079552484E-02  8.472807479191E-06  2.672598163073E-12  8.430241164065E-19  2.659171431089E-25  9.993635657227E-01  2.017825928867E-04  1.286635330416E-04  3.163696108302E-05  4.846016292006E-06  9.095701402003E-05  1.785481599491E-04  3.388435008338E-05  3.235932026768E-05  1.120074751178E-11  4.569291883759E-04  2.818381661459E-05  2.344227740384E-06
  2.058692706765E+10  1.030649282486E+03  7.844656083873E-13  2.890025259493E-02  1.107703733275E-05  3.494255766252E-12  1.102264370912E-18  3.477097419701E-25  9.991927158988E-01  2.560107261311E-04  1.631828261405E-04  4.012660056265E-05  6.146631813866E-06  1.153647831719E-04  2.264525334252E-04  3.388433334799E-05  3.235930867095E-05  1.100897773540E-11  4.569291476520E-04  2.818381337421E-05  2.344227466013E-06
  2.058685345565E+10  1.030662328278E+03  8.117723524263E-13  2.990335879649E-02  1.398189985179E-05  4.410861732371E-12  1.391492000629E-18  4.389731924791E-25  9.990119203652E-01  3.134191635656E-04  1.997036379757E-04  4.910916816333E-05  7.522846351510E-06  1.411896618943E-04  2.771351568760E-04  3.388431590265E-05  3.235929658374E-05  1.082118877532E-11  4.569291052277E-04  2.818380999727E-05  2.344227180057E-06
  2.058677984365E+10  1.030675374071E+03  8.400296266886E-13  3.094128206577E-02  1.722209290367E-05  5.433390355472E-12  1.714177962274E-18  5.408052883968E-25  9.988205253580E-01  3.742175615252E-04  2.383573224708E-04  5.861703114197E-05  8.979626383967E-06  1.685246978790E-04  3.307784025820E-04  3.388429767764E-05  3.235928395778E-05  1.063729163822E-11  4.569290609349E-04  2.818380647029E-05  2.344226881373E-06
  2.058670623165E+10  1.030688419863E+03  8.692705185211E-13  3.201523087721E-02  2.083632550794E-05  6.574084968961E-12  2.074195415899E-18  6.544313384209E-25  9.986178275451E-01  4.386314571057E-04  2.792851971260E-04  6.868501151215E-05  1.052231504527E-05  1.974699952875E-04  3.875784788476E-04  3.388427859896E-05  3.235927074185E-05  1.045719944670E-11  4.569290145953E-04  2.818380277898E-05  2.344226568751E-06
  2.058663261965E+10  1.030701465655E+03  8.995292670195E-13  3.312645565048E-02  2.486774350090E-05  7.846604817229E-12  2.475866755437E-18  7.812190316856E-25  9.984030711707E-01  5.069031861188E-04  3.226391157561E-04  7.935052725145E-05  1.215665380717E-05  2.281331206045E-04  4.477462257542E-04  3.388425858808E-05  3.235925688159E-05  1.028082738687E-11  4.569289660194E-04  2.818379890818E-05  2.344226240906E-06
  2.058655900765E+10  1.030715524383E+03  9.309235512616E-13  3.427962342822E-02  2.936487493856E-05  9.266293870775E-12  2.924048191424E-18  9.227054957989E-25  9.981754414997E-01  5.792939986448E-04  3.685827811677E-04  9.065391614933E-05  1.388883222421E-05  2.606300335312E-04  5.115089385411E-04  3.388423758221E-05  3.235924233359E-05  1.010808642986E-11  4.569289150559E-04  2.818379484579E-05  2.344225896812E-06
  2.058648539565E+10  1.030732958275E+03  9.636971962363E-13  3.548456777268E-02  3.438567401448E-05  1.085151636035E-11  3.424552893172E-18  1.080730678395E-24  9.979340365692E-01  6.560932767040E-04  4.172973667731E-04  1.026398256234E-04  1.572570176921E-05  2.950890820632E-04  5.791181779047E-04  3.388421553557E-05  3.235922706624E-05  9.938887011160E-12  4.569288615945E-04  2.818379058301E-05  2.344225535721E-06
  2.058641178365E+10  1.030750392168E+03  9.976246543286E-13  3.673186645854E-02  3.999335905923E-05  1.262229654829E-11  3.983721817779E-18  1.257302386060E-24  9.976778645691E-01  7.376189966104E-04  4.689821708116E-04  1.153573630549E-04  1.767479758135E-05  3.316514352312E-04  6.508506675932E-04  3.388419227348E-05  3.235921095855E-05  9.773174287730E-12  4.569288052142E-04  2.818378608606E-05  2.344225154773E-06
  2.058633817165E+10  1.030767826060E+03  1.032746546126E-12  3.802300826013E-02  4.625660368183E-05  1.460036329472E-11  4.608437828072E-18  1.454601191769E-24  9.974058781464E-01  8.242068456787E-04  5.238476838224E-04  1.288583909603E-04  1.974407729310E-05  3.704661816243E-04  7.269986742343E-04  3.388416769308E-05  3.235919393937E-05  9.610870821728E-12  4.569287456671E-04  2.818378133509E-05  2.344224752286E-06
