 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           T        n<H>         rho           p        wmix        tau n_H         n_Mg        n_Fe        n_Al        n_Ti        n_TIO       n_TIO2      n_TIS       n_SIO       n_SIO2      n_SIS       n_H2O       n_H2        n_H2S       n_MGO       n_MGOH      n_MG(OH)2   n_FEO       n_FES       n_FE(OH)2   n_ALOH      n_ALH       n_AL2O      n_ALS       n_ALO2H              pel
  3.9093E+05  1.0306E+03  3.4642E+11  7.8447E-13  2.8900E-02  1.1555E-19  0.0000E+00  5.4773E+06  1.1735E+07  9.7632E+06  2.0803E+03  8.2868E-07  2.5539E-01  3.5568E+00  1.5654E-03  9.9696E+06  7.8401E-01  1.2403E+06  6.2620E+07  1.7314E+11  2.8696E+06  4.0448E-01  2.8028E+03  2.5893E-02  8.5772E-01  1.9491E+02  5.5039E-02  4.3847E+05  3.9104E+00  1.8214E+05  3.9595E+03  3.2723E+03  6.3800E-12
  4.6454E+05  1.0307E+03  3.5848E+11  8.1177E-13  2.9903E-02  1.2456E-19  0.0000E+00  5.5736E+06  1.2143E+07  1.0103E+07  2.1171E+03  8.4314E-07  2.5979E-01  3.6178E+00  1.5987E-03  1.0312E+07  8.1106E-01  1.2879E+06  6.4804E+07  1.7917E+11  2.9814E+06  4.1864E-01  2.9501E+03  2.7721E-02  8.8774E-01  2.0249E+02  5.8924E-02  4.5377E+05  4.0478E+00  1.8850E+05  4.0450E+03  3.3866E+03  6.4923E-12
  5.3816E+05  1.0307E+03  3.7096E+11  8.4003E-13  3.0941E-02  1.3427E-19  0.0000E+00  5.6716E+06  1.2566E+07  1.0455E+07  2.1545E+03  8.5790E-07  2.6429E-01  3.6800E+00  1.6326E-03  1.0667E+07  8.3905E-01  1.3373E+06  6.7064E+07  1.8540E+11  3.0973E+06  4.3331E-01  3.1051E+03  2.9679E-02  9.1880E-01  2.1035E+02  6.3083E-02  4.6961E+05  4.1901E+00  1.9509E+05  4.1320E+03  3.5049E+03  6.6066E-12
  6.1177E+05  1.0307E+03  3.8387E+11  8.6927E-13  3.2015E-02  1.4474E-19  0.0000E+00  5.7713E+06  1.3003E+07  1.0819E+07  2.1926E+03  8.7299E-07  2.6888E-01  3.7436E+00  1.6673E-03  1.1033E+07  8.6800E-01  1.3884E+06  6.9403E+07  1.9186E+11  3.2174E+06  4.4849E-01  3.2683E+03  3.1775E-02  9.5096E-01  2.1850E+02  6.7536E-02  4.8601E+05  4.3373E+00  2.0190E+05  4.2206E+03  3.6274E+03  6.7229E-12
  6.8538E+05  1.0307E+03  3.9723E+11  8.9953E-13  3.3126E-02  1.5602E-19  0.0000E+00  5.8728E+06  1.3456E+07  1.1195E+07  2.2314E+03  8.8839E-07  2.7358E-01  3.8086E+00  1.7027E-03  1.1413E+07  8.9797E-01  1.4414E+06  7.1824E+07  1.9854E+11  3.3418E+06  4.6420E-01  3.4400E+03  3.4019E-02  9.8423E-01  2.2695E+02  7.2304E-02  5.0297E+05  4.4898E+00  2.0895E+05  4.3106E+03  3.7541E+03  6.8412E-12
  7.5899E+05  1.0307E+03  4.1110E+11  9.3092E-13  3.4280E-02  1.6822E-19  0.0000E+00  5.9765E+06  1.3925E+07  1.1586E+07  2.2710E+03  9.0424E-07  2.7840E-01  3.8752E+00  1.7390E-03  1.1806E+07  9.2906E-01  1.4965E+06  7.4335E+07  2.0547E+11  3.4712E+06  4.8050E-01  3.6212E+03  3.6427E-02  1.0188E+00  2.3573E+02  7.7419E-02  5.2057E+05  4.6481E+00  2.1627E+05  4.4025E+03  3.8855E+03  6.9622E-12
  8.3260E+05  1.0307E+03  4.2557E+11  9.6370E-13  3.5485E-02  1.8150E-19  0.0000E+00  6.0834E+06  1.4415E+07  1.1994E+07  2.3119E+03  9.2081E-07  2.8342E-01  3.9445E+00  1.7766E-03  1.2217E+07  9.6153E-01  1.5540E+06  7.6957E+07  2.1270E+11  3.6063E+06  4.9755E-01  3.8134E+03  3.9025E-02  1.0549E+00  2.4490E+02  8.2937E-02  5.3895E+05  4.8137E+00  2.2391E+05  4.4971E+03  4.0227E+03  7.0869E-12
  9.0622E+05  1.0308E+03  4.4055E+11  9.9762E-13  3.6732E-02  1.9583E-19  0.0000E+00  6.1923E+06  1.4923E+07  1.2416E+07  2.3535E+03  9.3774E-07  2.8855E-01  4.0152E+00  1.8151E-03  1.2642E+07  9.9514E-01  1.6136E+06  7.9671E+07  2.2019E+11  3.7465E+06  5.1519E-01  4.0158E+03  4.1808E-02  1.0922E+00  2.5440E+02  8.8848E-02  5.5798E+05  4.9853E+00  2.3181E+05  4.5933E+03  4.1647E+03  7.2138E-12
  9.7983E+05  1.0308E+03  4.5606E+11  1.0327E-12  3.8023E-02  2.1130E-19  0.0000E+00  6.3030E+06  1.5448E+07  1.2853E+07  2.3959E+03  9.5504E-07  2.9379E-01  4.0875E+00  1.8544E-03  1.3082E+07  1.0299E+00  1.6754E+06  8.2480E+07  2.2794E+11  3.8917E+06  5.3347E-01  4.2290E+03  4.4789E-02  1.1309E+00  2.6426E+02  9.5180E-02  5.7767E+05  5.1630E+00  2.4000E+05  4.6912E+03  4.3117E+03  7.3430E-12
  1.0534E+06  1.0308E+03  4.7212E+11  1.0691E-12  3.9360E-02  2.2798E-19  0.0000E+00  6.4158E+06  1.5992E+07  1.3306E+07  2.4390E+03  9.7274E-07  2.9915E-01  4.1613E+00  1.8945E-03  1.3538E+07  1.0659E+00  1.7394E+06  8.5389E+07  2.3596E+11  4.0423E+06  5.5239E-01  4.4535E+03  4.7983E-02  1.1710E+00  2.7447E+02  1.0196E-01  5.9806E+05  5.3470E+00  2.4848E+05  4.7908E+03  4.4639E+03  7.4745E-12
  1.1271E+06  1.0308E+03  4.8874E+11  1.1067E-12  4.0743E-02  2.4599E-19  0.0000E+00  6.5306E+06  1.6555E+07  1.3774E+07  2.4830E+03  9.9083E-07  3.0463E-01  4.2368E+00  1.9354E-03  1.4009E+07  1.1032E+00  1.8058E+06  8.8400E+07  2.4427E+11  4.1984E+06  5.7198E-01  4.6899E+03  5.1404E-02  1.2125E+00  2.8505E+02  1.0923E-01  6.1917E+05  5.5376E+00  2.5725E+05  4.8921E+03  4.6214E+03  7.6084E-12
  1.2007E+06  1.0308E+03  5.0594E+11  1.1457E-12  4.2175E-02  2.6541E-19  0.0000E+00  6.6474E+06  1.7138E+07  1.4259E+07  2.5277E+03  1.0093E-06  3.1022E-01  4.3140E+00  1.9772E-03  1.4497E+07  1.1418E+00  1.8745E+06  9.1517E+07  2.5287E+11  4.3601E+06  5.9226E-01  4.9388E+03  5.5070E-02  1.2554E+00  2.9603E+02  1.1701E-01  6.4103E+05  5.7350E+00  2.6634E+05  4.9952E+03  4.7845E+03  7.7447E-12
  1.2743E+06  1.0308E+03  5.2376E+11  1.1860E-12  4.3658E-02  2.8637E-19  0.0000E+00  6.7663E+06  1.7741E+07  1.4761E+07  2.5732E+03  1.0283E-06  3.1595E-01  4.3928E+00  2.0200E-03  1.5002E+07  1.1818E+00  1.9458E+06  9.4744E+07  2.6177E+11  4.5278E+06  6.1327E-01  5.2009E+03  5.8996E-02  1.2999E+00  3.0740E+02  1.2535E-01  6.6365E+05  5.9394E+00  2.7574E+05  5.1001E+03  4.9534E+03  7.8834E-12
  1.3479E+06  1.0309E+03  5.4219E+11  1.2278E-12  4.5192E-02  3.0898E-19  0.0000E+00  6.8874E+06  1.8365E+07  1.5281E+07  2.6195E+03  1.0476E-06  3.2180E-01  4.4734E+00  2.0636E-03  1.5525E+07  1.2231E+00  2.0196E+06  9.8084E+07  2.7099E+11  4.7015E+06  6.3501E-01  5.4769E+03  6.3202E-02  1.3459E+00  3.1918E+02  1.3428E-01  6.8707E+05  6.1511E+00  2.8548E+05  5.2068E+03  5.1281E+03  8.0246E-12
  1.4215E+06  1.0309E+03  5.6128E+11  1.2710E-12  4.6781E-02  3.3338E-19  0.0000E+00  7.0106E+06  1.9012E+07  1.5819E+07  2.6667E+03  1.0674E-06  3.2778E-01  4.5558E+00  2.1082E-03  1.6067E+07  1.2659E+00  2.0961E+06  1.0154E+08  2.8053E+11  4.8816E+06  6.5753E-01  5.7676E+03  6.7708E-02  1.3936E+00  3.3139E+02  1.4385E-01  7.1132E+05  6.3704E+00  2.9556E+05  5.3153E+03  5.3091E+03  8.1683E-12
  1.4951E+06  1.0309E+03  5.8111E+11  1.3159E-12  4.8431E-02  3.5981E-19  0.0000E+00  7.1368E+06  1.9683E+07  1.6378E+07  2.7150E+03  1.0878E-06  3.3395E-01  4.6407E+00  2.1541E-03  1.6629E+07  1.3104E+00  2.1756E+06  1.0514E+08  2.9044E+11  5.0688E+06  6.8094E-01  6.0747E+03  7.2550E-02  1.4431E+00  3.4408E+02  1.5413E-01  7.3651E+05  6.5985E+00  3.0603E+05  5.4262E+03  5.4970E+03  8.3155E-12
  1.5687E+06  1.0309E+03  6.0184E+11  1.3629E-12  5.0157E-02  3.8862E-19  0.0000E+00  7.2672E+06  2.0385E+07  1.6962E+07  2.7651E+03  1.1093E-06  3.4041E-01  4.7291E+00  2.2019E-03  1.7216E+07  1.3570E+00  2.2587E+06  1.0889E+08  3.0080E+11  5.2646E+06  7.0545E-01  6.4008E+03  7.7779E-02  1.4950E+00  3.5736E+02  1.6523E-01  7.6285E+05  6.8377E+00  3.1698E+05  5.5406E+03  5.6934E+03  8.4678E-12
  1.6423E+06  1.0309E+03  6.2331E+11  1.4115E-12  5.1945E-02  4.1975E-19  0.0000E+00  7.4001E+06  2.1112E+07  1.7567E+07  2.8161E+03  1.1313E-06  3.4701E-01  4.8196E+00  2.2509E-03  1.7825E+07  1.4052E+00  2.3449E+06  1.1278E+08  3.1153E+11  5.4677E+06  7.3085E-01  6.7444E+03  8.3384E-02  1.5487E+00  3.7112E+02  1.7713E-01  7.9012E+05  7.0857E+00  3.2831E+05  5.6569E+03  5.8967E+03  8.6228E-12
  1.7159E+06  1.0310E+03  6.4554E+11  1.4618E-12  5.3796E-02  4.5336E-19  0.0000E+00  7.5354E+06  2.1865E+07  1.8193E+07  2.8680E+03  1.1538E-06  3.5376E-01  4.9121E+00  2.3009E-03  1.8455E+07  1.4551E+00  2.4342E+06  1.1681E+08  3.2264E+11  5.6781E+06  7.5715E-01  7.1064E+03  8.9393E-02  1.6044E+00  3.8538E+02  1.8988E-01  8.1837E+05  7.3426E+00  3.4006E+05  5.7753E+03  6.1074E+03  8.7806E-12
  1.7896E+06  1.0310E+03  6.6856E+11  1.5140E-12  5.5713E-02  4.8967E-19  0.0000E+00  7.6731E+06  2.2645E+07  1.8842E+07  2.9208E+03  1.1769E-06  3.6068E-01  5.0068E+00  2.3520E-03  1.9107E+07  1.5068E+00  2.5267E+06  1.2098E+08  3.3415E+11  5.8963E+06  7.8441E-01  7.4879E+03  9.5835E-02  1.6620E+00  4.0017E+02  2.0355E-01  8.4762E+05  7.6088E+00  3.5222E+05  5.8958E+03  6.3255E+03  8.9414E-12
  1.8632E+06  1.0310E+03  6.9241E+11  1.5680E-12  5.7699E-02  5.2889E-19  0.0000E+00  7.8134E+06  2.3452E+07  1.9514E+07  2.9747E+03  1.2005E-06  3.6775E-01  5.1037E+00  2.4044E-03  1.9783E+07  1.5603E+00  2.6226E+06  1.2530E+08  3.4607E+11  6.1224E+06  8.1264E-01  7.8898E+03  1.0274E-01  1.7217E+00  4.1549E+02  2.1821E-01  8.7792E+05  7.8847E+00  3.6482E+05  6.0184E+03  6.5514E+03  9.1051E-12
  1.9368E+06  1.0310E+03  7.1710E+11  1.6239E-12  5.9755E-02  5.7124E-19  0.0000E+00  7.9562E+06  2.4288E+07  2.0210E+07  3.0295E+03  1.2246E-06  3.7499E-01  5.2028E+00  2.4578E-03  2.0483E+07  1.6158E+00  2.7220E+06  1.2977E+08  3.5841E+11  6.3568E+06  8.4188E-01  8.3132E+03  1.1014E-01  1.7836E+00  4.3137E+02  2.3392E-01  9.0931E+05  8.1706E+00  3.7786E+05  6.1431E+03  6.7853E+03  9.2718E-12
  2.0104E+06  1.0311E+03  7.4268E+11  1.6818E-12  6.1885E-02  6.1699E-19  0.0000E+00  8.1017E+06  2.5154E+07  2.0931E+07  3.0854E+03  1.2494E-06  3.8240E-01  5.3042E+00  2.5125E-03  2.1207E+07  1.6732E+00  2.8251E+06  1.3441E+08  3.7119E+11  6.5997E+06  8.7218E-01  8.7594E+03  1.1808E-01  1.8477E+00  4.4783E+02  2.5076E-01  9.4181E+05  8.4669E+00  3.9137E+05  6.2700E+03  7.0276E+03  9.4415E-12
  2.0840E+06  1.0311E+03  7.6917E+11  1.7418E-12  6.4090E-02  6.6640E-19  0.0000E+00  8.2498E+06  2.6051E+07  2.1677E+07  3.1422E+03  1.2747E-06  3.8999E-01  5.4080E+00  2.5685E-03  2.1957E+07  1.7327E+00  2.9318E+06  1.3921E+08  3.8443E+11  6.8515E+06  9.0357E-01  9.2296E+03  1.2659E-01  1.9141E+00  4.6489E+02  2.6881E-01  9.7548E+05  8.7739E+00  4.0537E+05  6.3992E+03  7.2785E+03  9.6143E-12
  2.1576E+06  1.0311E+03  7.9660E+11  1.8039E-12  6.6375E-02  7.1977E-19  0.0000E+00  8.4006E+06  2.6980E+07  2.2451E+07  3.2002E+03  1.3007E-06  3.9776E-01  5.5142E+00  2.6257E-03  2.2735E+07  1.7943E+00  3.0424E+06  1.4418E+08  3.9814E+11  7.1124E+06  9.3609E-01  9.7249E+03  1.3571E-01  1.9828E+00  4.8257E+02  2.8817E-01  1.0103E+06  9.0920E+00  4.1986E+05  6.5306E+03  7.5383E+03  9.7903E-12
  2.2312E+06  1.0311E+03  8.2514E+11  1.8685E-12  6.8752E-02  7.7770E-19  0.0000E+00  8.5556E+06  2.7947E+07  2.3255E+07  3.2598E+03  1.3277E-06  4.0582E-01  5.6242E+00  2.6850E-03  2.3543E+07  1.8584E+00  3.1575E+06  1.4935E+08  4.1241E+11  7.3841E+06  9.6997E-01  1.0249E+04  1.4552E-01  2.0545E+00  5.0097E+02  3.0898E-01  1.0466E+06  9.4239E+00  4.3495E+05  6.6653E+03  7.8086E+03  9.9713E-12
  2.3048E+06  1.0312E+03  8.5488E+11  1.9359E-12  7.1228E-02  8.4068E-19  0.0000E+00  8.7154E+06  2.8954E+07  2.4093E+07  3.3213E+03  1.3560E-06  4.1422E-01  5.7384E+00  2.7467E-03  2.4385E+07  1.9253E+00  3.2775E+06  1.5474E+08  4.2727E+11  7.6672E+06  1.0053E+00  1.0803E+04  1.5608E-01  2.1292E+00  5.2014E+02  3.3138E-01  1.0844E+06  9.7709E+00  4.5066E+05  6.8036E+03  8.0900E+03  1.0158E-11
  2.3785E+06  1.0312E+03  8.8568E+11  2.0056E-12  7.3795E-02  9.0875E-19  0.0000E+00  8.8781E+06  2.9997E+07  2.4961E+07  3.3839E+03  1.3850E-06  4.2282E-01  5.8554E+00  2.8098E-03  2.5257E+07  1.9945E+00  3.4018E+06  1.6032E+08  4.4267E+11  7.9608E+06  1.0420E+00  1.1388E+04  1.6741E-01  2.2066E+00  5.4001E+02  3.5541E-01  1.1236E+06  1.0131E+01  4.6693E+05  6.9445E+03  8.3815E+03  1.0348E-11
