    K,   J,  wlos(J),   WLSTEP(J),   Y
   49   267   1427.74      0.71      0.00
   49   268   1428.45      0.71      0.00
   49   269   1429.16      0.71      0.00
   49   270   1429.88      0.71      0.00
   49   271   1430.59      0.72      0.00
   49   272   1431.31      0.72      0.00
   49   273   1432.03      0.72      0.00
   49   274   1432.74      0.72      0.00
   49   275   1433.46      0.72      0.00
   49   276   1434.18      0.72      0.00
   49   277   1434.89      0.72      0.00
   49   278   1435.61      0.72      0.00
   49   279   1436.33      0.72      0.00
   49   280   1437.05      0.72      0.00
   49   281   1437.77      0.72      0.00
   49   282   1438.48      0.72      0.00
   49   283   1439.20      0.72      0.00
   49   284   1439.92      0.72      0.00
   49   285   1440.64      0.72      0.00
   49   286   1441.36      0.72      0.00
   49   287   1442.08      0.72      0.00
   49   288   1442.81      0.72      0.00
   49   289   1443.53      0.72      0.00
   49   290   1444.25      0.72      0.00
   49   291   1444.97      0.72      0.00
   49   292   1445.69      0.72      0.00
   49   293   1446.42      0.72      0.00
   49   294   1447.14      0.72      0.00
   49   295   1447.86      0.72      0.00
   49   296   1448.59      0.72      0.00
   49   297   1449.31      0.72      0.00
   49   298   1450.04      0.73      0.00
   49   299   1450.76      0.73      0.00
   49   300   1451.49      0.73      0.00
   49   301   1452.21      0.73      0.00
   49   302   1452.94      0.73      0.00
   49   303   1453.67      0.73      0.00
   49   304   1454.39      0.73      0.00
   49   305   1455.12      0.73      0.00
   49   306   1455.85      0.73      0.00
   49   307   1456.58      0.73      0.00
   49   308   1457.31      0.73      0.00
   49   309   1458.03      0.73      0.00
   49   310   1458.76      0.73      0.00
   49   311   1459.49      0.73      0.00
   49   312   1460.22      0.73      0.00
   49   313   1460.95      0.73      0.00
   49   314   1461.68      0.73      0.00
   49   315   1462.42      0.73      0.00
   49   316   1463.15      0.73      0.00
   49   317   1463.88      0.73      0.00
   49   318   1464.61      0.73      0.00
   49   319   1465.34      0.73      0.00
   49   320   1466.08      0.73      0.00
   49   321   1466.81      0.73      0.00
   49   322   1467.54      0.73      0.00
   49   323   1468.28      0.73      0.00
   49   324   1469.01      0.73      0.00
   49   325   1469.75      0.73      0.00
   49   326   1470.48      0.74      0.00
   49   327   1471.22      0.74      0.00
   49   328   1471.95      0.74      0.00
   49   329   1472.69      0.74      0.00
   49   330   1473.42      0.74      0.00
   49   331   1474.16      0.74      0.00
   49   332   1474.90      0.74      0.00
   49   333   1475.64      0.74      0.00
   49   334   1476.37      0.74      0.00
   49   335   1477.11      0.74      0.00
   49   336   1477.85      0.74      0.00
   49   337   1478.59      0.74      0.00
   49   338   1479.33      0.74      0.00
   49   339   1480.07      0.74      0.00
   49   340   1480.81      0.74      0.00
   49   341   1481.55      0.74      0.00
   49   342   1482.29      0.74      0.00
   49   343   1483.03      0.74      0.00
   49   344   1483.77      0.74      0.00
   49   345   1484.52      0.74      0.00
   49   346   1485.26      0.74      0.00
   49   347   1486.00      0.74      0.00
   49   348   1486.74      0.74      0.00
   49   349   1487.49      0.74      0.00
   49   350   1488.23      0.74      0.00
   49   351   1488.98      0.74      0.00
   49   352   1489.72      0.74      0.00
   49   353   1490.47      0.75      0.00
   49   354   1491.21      0.75      0.00
   49   355   1491.96      0.75      0.00
   49   356   1492.70      0.75      0.00
   49   357   1493.45      0.75      0.00
   49   358   1494.20      0.75      0.00
   49   359   1494.94      0.75      0.00
   49   360   1495.69      0.75      0.00
   49   361   1496.44      0.75      0.00
   49   362   1497.19      0.75      0.00
   49   363   1497.94      0.75      0.00
   49   364   1498.69      0.75      0.00
   49   365   1499.44      0.75      0.00
   49   366   1500.19      0.75      0.00
   49   367   1500.94      0.75      0.00
   49   368   1501.69      0.75      0.00
   49   369   1502.44      0.75      0.00
   49   370   1503.19      0.75      0.00
   49   371   1503.94      0.75      0.00
   49   372   1504.69      0.75      0.00
   49   373   1505.45      0.75      0.00
   49   374   1506.20      0.75      0.00
   49   375   1506.95      0.75      0.00
   49   376   1507.71      0.75      0.00
   49   377   1508.46      0.75      0.00
   49   378   1509.21      0.75      0.00
   49   379   1509.97      0.75      0.00
   49   380   1510.72      0.76      0.00
   49   381   1511.48      0.76      0.00
   49   382   1512.23      0.76      0.00
   49   383   1512.99      0.76      0.00
   49   384   1513.75      0.76      0.00
   49   385   1514.50      0.76      0.00
   49   386   1515.26      0.76      0.00
   49   387   1516.02      0.76      0.00
   49   388   1516.78      0.76      0.00
   49   389   1517.54      0.76      0.00
   49   390   1518.30      0.76      0.00
   49   391   1519.06      0.76      0.00
   49   392   1519.81      0.76      0.00
   49   393   1520.57      0.76      0.00
   49   394   1521.34      0.76      0.00
   49   395   1522.10      0.76      0.00
   49   396   1522.86      0.76      0.00
   49   397   1523.62      0.76      0.00
   49   398   1524.38      0.76      0.00
   49   399   1525.14      0.76      0.00
   49   400   1525.91      0.76      0.00
   49   401   1526.67      0.76      0.00
   49   402   1527.43      0.76      0.00
   49   403   1528.20      0.76      0.00
   49   404   1528.96      0.76      0.00
   49   405   1529.73      0.76      0.00
   49   406   1530.49      0.77      0.00
   49   407   1531.26      0.77      0.00
   49   408   1532.02      0.77      0.00
   49   409   1532.79      0.77      0.00
   49   410   1533.55      0.77      0.00
   49   411   1534.32      0.77      0.00
   49   412   1535.09      0.77      0.00
   49   413   1535.86      0.77      0.00
   49   414   1536.62      0.77      0.00
   49   415   1537.39      0.77      0.00
   49   416   1538.16      0.77      0.00
   49   417   1538.93      0.77      0.00
   49   418   1539.70      0.77      0.00
   49   419   1540.47      0.77      0.00
   49   420   1541.24      0.77      0.00
   49   421   1542.01      0.77      0.00
   49   422   1542.78      0.77      0.00
   49   423   1543.55      0.77      0.00
   49   424   1544.33      0.77      0.00
   49   425   1545.10      0.77      0.00
   49   426   1545.87      0.77      0.00
   49   427   1546.64      0.77      0.00
   49   428   1547.42      0.77      0.00
   49   429   1548.19      0.77      0.00
   49   430   1548.97      0.77      0.00
   49   431   1549.74      0.77      0.00
   49   432   1550.52      0.78      0.00
   49   433   1551.29      0.78      0.00
   49   434   1552.07      0.78      0.00
   49   435   1552.84      0.78      0.00
   49   436   1553.62      0.78      0.00
   49   437   1554.40      0.78      0.00
   49   438   1555.17      0.78      0.00
   49   439   1555.95      0.78      0.00
   49   440   1556.73      0.78      0.00
   49   441   1557.51      0.78      0.00
   49   442   1558.29      0.78      0.00
   49   443   1559.07      0.78      0.00
   49   444   1559.85      0.78      0.00
   49   445   1560.63      0.78      0.00
   49   446   1561.41      0.78      0.00
   49   447   1562.19      0.78      0.00
   49   448   1562.97      0.78      0.00
   49   449   1563.75      0.78      0.00
   49   450   1564.53      0.78      0.00
   49   451   1565.32      0.78      0.00
   49   452   1566.10      0.78      0.00
   49   453   1566.88      0.78      0.00
   49   454   1567.67      0.78      0.00
   49   455   1568.45      0.78      0.00
   49   456   1569.23      0.78      0.00
   49   457   1570.02      0.78      0.00
   49   458   1570.80      0.79      0.00
   49   459   1571.59      0.79      0.00
   49   460   1572.38      0.79      0.00
   49   461   1573.16      0.79      0.00
   49   462   1573.95      0.79      0.00
   49   463   1574.74      0.79      0.00
   49   464   1575.52      0.79      0.00
   49   465   1576.31      0.79      0.00
   49   466   1577.10      0.79      0.00
   49   467   1577.89      0.79      0.00
   49   468   1578.68      0.79      0.00
   49   469   1579.47      0.79      0.00
   49   470   1580.26      0.79      0.00
   49   471   1581.05      0.79      0.00
   49   472   1581.84      0.79      0.00
   49   473   1582.63      0.79      0.00
   49   474   1583.42      0.79      0.00
   49   475   1584.21      0.79      0.00
   49   476   1585.00      0.79      0.00
   49   477   1585.80      0.79      0.00
   49   478   1586.59      0.79      0.00
   49   479   1587.38      0.79      0.00
   49   480   1588.18      0.79      0.00
   49   481   1588.97      0.79      0.00
   49   482   1589.77      0.79      0.00
   49   483   1590.56      0.80      0.00
   49   484   1591.36      0.80      0.00
   49   485   1592.15      0.80      0.00
   49   486   1592.95      0.80      0.00
