 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           pSeff_TiO2[s]Seff_Mg2SiO4Seff_SiO2[s]Seff_Fe[s]  Seff_Al2O3[sSeff_MgO[s] Seff_MgSiO3[     N*_TiO2     J*_TiO2
  2.0840E+06  6.4090E-02  6.6083E+03  1.3645E+09  1.6438E+05  1.0077E+05  1.0224E+13  5.8707E+04  5.5585E+08  5.0115E+00  4.0711E-17  0.0000E+00
  2.1576E+06  6.6375E-02  6.7320E+03  1.3567E+09  1.5758E+05  9.6663E+04  9.6158E+12  5.6301E+04  5.5109E+08  4.9870E+00  4.5540E-17  0.0000E+00
  2.2312E+06  6.8752E-02  6.8587E+03  1.3495E+09  1.5115E+05  9.2780E+04  9.0590E+12  5.4026E+04  5.4667E+08  4.9625E+00  5.0969E-17  0.0000E+00
  2.3048E+06  7.1228E-02  6.9885E+03  1.3429E+09  1.4506E+05  8.9104E+04  8.5521E+12  5.1871E+04  5.4251E+08  4.9382E+00  5.7081E-17  0.0000E+00
  2.3785E+06  7.3795E-02  7.1216E+03  1.3369E+09  1.3929E+05  8.5618E+04  8.0812E+12  4.9827E+04  5.3866E+08  4.9139E+00  6.3927E-17  0.0000E+00
  2.4521E+06  7.6453E-02  7.2583E+03  1.3314E+09  1.3381E+05  8.2307E+04  7.6228E+12  4.7887E+04  5.3510E+08  4.8898E+00  7.1593E-17  0.0000E+00
  2.5257E+06  7.9207E-02  7.3987E+03  1.3264E+09  1.2860E+05  7.9157E+04  7.1861E+12  4.6040E+04  5.3177E+08  4.8657E+00  8.0179E-17  0.0000E+00
  2.5993E+06  8.2061E-02  7.5430E+03  1.3218E+09  1.2364E+05  7.6155E+04  6.7999E+12  4.4282E+04  5.2867E+08  4.8418E+00  8.9795E-17  0.0000E+00
  2.6729E+06  8.5017E-02  7.6913E+03  1.3175E+09  1.1891E+05  7.3292E+04  6.4262E+12  4.2605E+04  5.2576E+08  4.8179E+00  1.0056E-16  0.0000E+00
  2.7465E+06  8.8080E-02  7.8437E+03  1.3136E+09  1.1440E+05  7.0558E+04  6.0801E+12  4.1003E+04  5.2303E+08  4.7942E+00  1.1262E-16  0.0000E+00
  2.8201E+06  9.1253E-02  8.0006E+03  1.3099E+09  1.1008E+05  6.7945E+04  5.7424E+12  3.9473E+04  5.2046E+08  4.7705E+00  1.2613E-16  0.0000E+00
  2.8937E+06  9.4540E-02  8.1620E+03  1.3064E+09  1.0596E+05  6.5446E+04  5.4330E+12  3.8010E+04  5.1803E+08  4.7470E+00  1.4126E-16  0.0000E+00
  2.9674E+06  9.7978E-02  8.3276E+03  1.3027E+09  1.0200E+05  6.3050E+04  5.1407E+12  3.6605E+04  5.1557E+08  4.7236E+00  1.5836E-16  0.0000E+00
  3.0410E+06  1.0155E-01  8.4979E+03  1.2989E+09  9.8207E+04  6.0754E+04  4.8695E+12  3.5258E+04  5.1316E+08  4.7002E+00  1.7759E-16  0.0000E+00
  3.1146E+06  1.0526E-01  8.6734E+03  1.2953E+09  9.4570E+04  5.8553E+04  4.6041E+12  3.3966E+04  5.1086E+08  4.6770E+00  1.9916E-16  0.0000E+00
  3.1882E+06  1.0910E-01  8.8544E+03  1.2919E+09  9.1083E+04  5.6441E+04  4.3538E+12  3.2728E+04  5.0867E+08  4.6539E+00  2.2336E-16  0.0000E+00
  3.2618E+06  1.1308E-01  9.0413E+03  1.2885E+09  8.7740E+04  5.4414E+04  4.1233E+12  3.1540E+04  5.0656E+08  4.6308E+00  2.5049E-16  0.0000E+00
  3.3354E+06  1.1720E-01  9.2342E+03  1.2851E+09  8.4532E+04  5.2468E+04  3.9067E+12  3.0399E+04  5.0454E+08  4.6079E+00  2.8091E-16  0.0000E+00
  3.4090E+06  1.2148E-01  9.4335E+03  1.2818E+09  8.1453E+04  5.0598E+04  3.6977E+12  2.9304E+04  5.0260E+08  4.5851E+00  3.1504E-16  0.0000E+00
  3.4826E+06  1.2591E-01  9.6397E+03  1.2786E+09  7.8498E+04  4.8802E+04  3.5038E+12  2.8252E+04  5.0074E+08  4.5623E+00  3.5330E-16  0.0000E+00
  3.5562E+06  1.3050E-01  9.8530E+03  1.2754E+09  7.5661E+04  4.7077E+04  3.3141E+12  2.7242E+04  4.9896E+08  4.5397E+00  3.9622E-16  0.0000E+00
  3.6299E+06  1.3527E-01  1.0074E+04  1.2722E+09  7.2934E+04  4.5418E+04  3.1389E+12  2.6271E+04  4.9721E+08  4.5172E+00  4.4444E-16  0.0000E+00
  3.7035E+06  1.4027E-01  1.0301E+04  1.2683E+09  7.0297E+04  4.3820E+04  2.9749E+12  2.5334E+04  4.9529E+08  4.4948E+00  4.9912E-16  0.0000E+00
  3.7771E+06  1.4545E-01  1.0537E+04  1.2645E+09  6.7766E+04  4.2284E+04  2.8161E+12  2.4433E+04  4.9344E+08  4.4725E+00  5.6052E-16  0.0000E+00
  3.8507E+06  1.5082E-01  1.0782E+04  1.2607E+09  6.5334E+04  4.0808E+04  2.6680E+12  2.3567E+04  4.9167E+08  4.4503E+00  6.2948E-16  0.0000E+00
  3.9243E+06  1.5639E-01  1.1037E+04  1.2569E+09  6.2999E+04  3.9388E+04  2.5268E+12  2.2735E+04  4.8998E+08  4.4282E+00  7.0693E-16  0.0000E+00
  3.9979E+06  1.6217E-01  1.1302E+04  1.2531E+09  6.0757E+04  3.8024E+04  2.3938E+12  2.1936E+04  4.8836E+08  4.4062E+00  7.9390E-16  0.0000E+00
