 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  3.0299E-02  3.1449E-10  1.7337E+03  5.5758E-05  5.5758E-05  4.7485E-01  0.0000E+00
  3.0610E-02  3.2156E-10  1.7355E+03  5.6299E-05  5.6299E-05  4.7540E-01  0.0000E+00
  3.0925E-02  3.2878E-10  1.7373E+03  5.6844E-05  5.6844E-05  4.7592E-01  0.0000E+00
  3.1243E-02  3.3615E-10  1.7391E+03  5.7394E-05  5.7394E-05  4.7642E-01  0.0000E+00
  3.1565E-02  3.4368E-10  1.7409E+03  5.7949E-05  5.7949E-05  4.7690E-01  0.0000E+00
  3.1889E-02  3.5136E-10  1.7428E+03  5.8507E-05  5.8507E-05  4.7736E-01  0.0000E+00
  3.2217E-02  3.5920E-10  1.7446E+03  5.9071E-05  5.9071E-05  4.7780E-01  0.0000E+00
  3.2549E-02  3.6720E-10  1.7464E+03  5.9638E-05  5.9638E-05  4.7821E-01  0.0000E+00
  3.2884E-02  3.7537E-10  1.7482E+03  6.0210E-05  6.0210E-05  4.7861E-01  0.0000E+00
  3.3222E-02  3.8372E-10  1.7500E+03  6.0786E-05  6.0786E-05  4.7899E-01  0.0000E+00
  3.3564E-02  3.9223E-10  1.7518E+03  6.1366E-05  6.1366E-05  4.7935E-01  0.0000E+00
  3.3909E-02  4.0092E-10  1.7536E+03  6.1950E-05  6.1950E-05  4.7969E-01  0.0000E+00
  3.4258E-02  4.0979E-10  1.7554E+03  6.2538E-05  6.2538E-05  4.8002E-01  0.0000E+00
  3.4610E-02  4.1884E-10  1.7573E+03  6.3129E-05  6.3129E-05  4.8033E-01  0.0000E+00
  3.4949E-02  4.2705E-10  1.7588E+03  6.3729E-05  6.3729E-05  4.8034E-01  0.0000E+00
  3.5289E-02  4.3525E-10  1.7604E+03  6.4335E-05  6.4335E-05  4.8020E-01  0.0000E+00
  3.5632E-02  4.4360E-10  1.7619E+03  6.4946E-05  6.4946E-05  4.8003E-01  0.0000E+00
  3.5979E-02  4.5211E-10  1.7635E+03  6.5560E-05  6.5560E-05  4.7987E-01  0.0000E+00
  3.6328E-02  4.6076E-10  1.7650E+03  6.6177E-05  6.6177E-05  4.7969E-01  0.0000E+00
  3.6682E-02  4.6957E-10  1.7665E+03  6.6798E-05  6.6798E-05  4.7952E-01  0.0000E+00
  3.7038E-02  4.7854E-10  1.7681E+03  6.7421E-05  6.7421E-05  4.7934E-01  0.0000E+00
  3.7398E-02  4.8767E-10  1.7696E+03  6.8046E-05  6.8046E-05  4.7916E-01  0.0000E+00
  3.7762E-02  4.9696E-10  1.7712E+03  6.8675E-05  6.8675E-05  4.7897E-01  0.0000E+00
  3.8129E-02  5.0642E-10  1.7727E+03  6.9306E-05  6.9306E-05  4.7878E-01  0.0000E+00
  3.8500E-02  5.1605E-10  1.7742E+03  6.9939E-05  6.9939E-05  4.7859E-01  0.0000E+00
  3.8874E-02  5.2585E-10  1.7758E+03  7.0575E-05  7.0575E-05  4.7840E-01  0.0000E+00
  3.9252E-02  5.3582E-10  1.7773E+03  7.1213E-05  7.1213E-05  4.7821E-01  0.0000E+00
  3.9634E-02  5.4598E-10  1.7789E+03  7.1853E-05  7.1853E-05  4.7801E-01  0.0000E+00
  4.0019E-02  5.5631E-10  1.7804E+03  7.2495E-05  7.2495E-05  4.7782E-01  0.0000E+00
  4.0409E-02  5.6682E-10  1.7819E+03  7.3139E-05  7.3139E-05  4.7762E-01  0.0000E+00
  4.0801E-02  5.7752E-10  1.7835E+03  7.3784E-05  7.3784E-05  4.7743E-01  0.0000E+00
  4.1198E-02  5.8842E-10  1.7850E+03  7.4431E-05  7.4431E-05  4.7723E-01  0.0000E+00
  4.1599E-02  5.9950E-10  1.7866E+03  7.5079E-05  7.5079E-05  4.7704E-01  0.0000E+00
  4.2003E-02  6.1078E-10  1.7881E+03  7.5728E-05  7.5728E-05  4.7685E-01  0.0000E+00
  4.2398E-02  6.2350E-10  1.7899E+03  7.6372E-05  7.6372E-05  4.7658E-01  0.0000E+00
  4.2790E-02  6.3711E-10  1.7918E+03  7.7005E-05  7.7005E-05  4.7642E-01  0.0000E+00
  4.3185E-02  6.5100E-10  1.7937E+03  7.7633E-05  7.7633E-05  4.7629E-01  0.0000E+00
  4.3584E-02  6.6518E-10  1.7956E+03  7.8256E-05  7.8256E-05  4.7619E-01  0.0000E+00
  4.3986E-02  6.7964E-10  1.7975E+03  7.8875E-05  7.8875E-05  4.7611E-01  0.0000E+00
  4.4393E-02  6.9439E-10  1.7994E+03  7.9487E-05  7.9487E-05  4.7607E-01  0.0000E+00
  4.4803E-02  7.0945E-10  1.8013E+03  8.0094E-05  8.0094E-05  4.7605E-01  0.0000E+00
  4.5216E-02  7.2480E-10  1.8032E+03  8.0693E-05  8.0693E-05  4.7607E-01  0.0000E+00
  4.5634E-02  7.4047E-10  1.8051E+03  8.1284E-05  8.1284E-05  4.7612E-01  0.0000E+00
  4.6056E-02  7.5645E-10  1.8070E+03  8.1866E-05  8.1866E-05  4.7621E-01  0.0000E+00
  4.6481E-02  7.7275E-10  1.8089E+03  8.2438E-05  8.2438E-05  4.7634E-01  0.0000E+00
  4.6910E-02  7.8938E-10  1.8109E+03  8.3000E-05  8.3000E-05  4.7653E-01  0.0000E+00
  4.7344E-02  8.0635E-10  1.8128E+03  8.3550E-05  8.3550E-05  4.7676E-01  0.0000E+00
  4.7781E-02  8.2365E-10  1.8147E+03  8.4086E-05  8.4086E-05  4.7704E-01  0.0000E+00
  4.8222E-02  8.4130E-10  1.8166E+03  8.4609E-05  8.4609E-05  4.7739E-01  0.0000E+00
  4.8667E-02  8.5930E-10  1.8185E+03  8.5115E-05  8.5115E-05  4.7780E-01  0.0000E+00
  4.9117E-02  8.7767E-10  1.8204E+03  8.5604E-05  8.5604E-05  4.7829E-01  0.0000E+00
  4.9571E-02  8.9640E-10  1.8223E+03  8.6074E-05  8.6074E-05  4.7885E-01  0.0000E+00
  5.0028E-02  9.1550E-10  1.8242E+03  8.6524E-05  8.6524E-05  4.7950E-01  0.0000E+00
  5.0491E-02  9.3498E-10  1.8261E+03  8.6950E-05  8.6950E-05  4.8024E-01  0.0000E+00
  5.0932E-02  9.5263E-10  1.8278E+03  8.7352E-05  8.7352E-05  4.8089E-01  0.0000E+00
  5.1191E-02  9.5403E-10  1.8276E+03  8.7789E-05  8.7789E-05  4.7927E-01  0.0000E+00
  5.1451E-02  9.5544E-10  1.8275E+03  8.8242E-05  8.8242E-05  4.7752E-01  0.0000E+00
  5.1713E-02  9.5685E-10  1.8274E+03  8.8706E-05  8.8706E-05  4.7570E-01  0.0000E+00
  5.1975E-02  9.5826E-10  1.8272E+03  8.9182E-05  8.9182E-05  4.7382E-01  0.0000E+00
  5.2240E-02  9.5967E-10  1.8271E+03  8.9670E-05  8.9670E-05  4.7188E-01  0.0000E+00
  5.2505E-02  9.6109E-10  1.8270E+03  9.0169E-05  9.0169E-05  4.6989E-01  0.0000E+00
  5.2772E-02  9.6251E-10  1.8269E+03  9.0680E-05  9.0680E-05  4.6784E-01  0.0000E+00
  5.3040E-02  9.6392E-10  1.8267E+03  9.1203E-05  9.1203E-05  4.6574E-01  0.0000E+00
  5.3310E-02  9.6534E-10  1.8266E+03  9.1738E-05  9.1738E-05  4.6358E-01  0.0000E+00
  5.3581E-02  9.6677E-10  1.8265E+03  9.2285E-05  9.2285E-05  4.6137E-01  0.0000E+00
  5.3853E-02  9.6819E-10  1.8263E+03  9.2843E-05  9.2843E-05  4.5911E-01  0.0000E+00
  5.4127E-02  9.6962E-10  1.8262E+03  9.3413E-05  9.3413E-05  4.5680E-01  0.0000E+00
  5.4402E-02  9.7104E-10  1.8261E+03  9.3996E-05  9.3996E-05  4.5445E-01  0.0000E+00
  5.4679E-02  9.7247E-10  1.8260E+03  9.4590E-05  9.4590E-05  4.5205E-01  0.0000E+00
  5.4957E-02  9.7390E-10  1.8258E+03  9.5196E-05  9.5196E-05  4.4961E-01  0.0000E+00
  5.5236E-02  9.7534E-10  1.8257E+03  9.5815E-05  9.5815E-05  4.4713E-01  0.0000E+00
  5.5517E-02  9.7677E-10  1.8256E+03  9.6445E-05  9.6445E-05  4.4460E-01  0.0000E+00
  5.5799E-02  9.7821E-10  1.8254E+03  9.7087E-05  9.7087E-05  4.4204E-01  0.0000E+00
  5.6083E-02  9.7965E-10  1.8253E+03  9.7741E-05  9.7741E-05  4.3944E-01  0.0000E+00
  5.6368E-02  9.8109E-10  1.8252E+03  9.8407E-05  9.8407E-05  4.3681E-01  0.0000E+00
  5.7066E-02  9.9715E-10  1.8263E+03  9.9076E-05  9.9076E-05  4.3727E-01  0.0000E+00
  5.9480E-02  1.0754E-09  1.8327E+03  9.9612E-05  9.9612E-05  4.5171E-01  0.0000E+00
  6.1996E-02  1.1594E-09  1.8390E+03  1.0006E-04  1.0006E-04  4.6683E-01  0.0000E+00
  6.4618E-02  1.2495E-09  1.8454E+03  1.0038E-04  1.0038E-04  4.8267E-01  0.0000E+00
  6.7351E-02  1.3463E-09  1.8517E+03  1.0051E-04  1.0051E-04  4.9957E-01  0.0000E+00
  7.0200E-02  1.4501E-09  1.8581E+03  1.0034E-04  1.0034E-04  5.1801E-01  0.0000E+00
  7.3169E-02  1.5615E-09  1.8644E+03  9.9771E-05  9.9771E-05  5.3869E-01  0.0000E+00
  7.6264E-02  1.6809E-09  1.8708E+03  9.8606E-05  9.8606E-05  5.6280E-01  0.0000E+00
  7.9490E-02  1.8090E-09  1.8771E+03  9.6572E-05  9.6572E-05  5.9237E-01  0.0000E+00
  8.2853E-02  1.9462E-09  1.8835E+03  9.3264E-05  9.3264E-05  6.3100E-01  0.0000E+00
  8.6357E-02  2.0932E-09  1.8898E+03  8.7909E-05  8.7909E-05  6.8685E-01  0.0000E+00
  9.0010E-02  2.2506E-09  1.8962E+03  7.8917E-05  7.8917E-05  7.8196E-01  0.0000E+00
  9.3817E-02  2.4187E-09  1.9025E+03  6.1519E-05  6.1519E-05  1.0180E+00  0.0000E+00
  9.6505E-02  2.5357E-09  1.9069E+03  3.3862E-05  4.7719E-07  4.1943E+01  1.2524E+00
  9.6546E-02  2.5369E-09  1.9069E+03  3.3985E-05  2.4030E-08  1.0272E+03  1.1100E+00
  9.6587E-02  2.5378E-09  1.9070E+03  3.4733E-05  1.1156E-07  2.7699E+02  9.1082E-01
  9.6606E-02  2.5381E-09  1.9070E+03  3.5405E-05  3.6036E-08  9.4764E+02  8.0176E-01
  9.6622E-02  2.5382E-09  1.9071E+03  3.6286E-05  6.9526E-08  5.3676E+02  6.9505E-01
  9.6629E-02  2.5382E-09  1.9071E+03  3.6740E-05  3.8729E-09  1.0000E+04  6.4942E-01
  9.6636E-02  2.5382E-09  1.9071E+03  3.7253E-05  4.4385E-08  9.0360E+02  6.0377E-01
  9.6649E-02  2.5381E-09  1.9071E+03  1.2080E-05  1.2080E-05  5.1795E+00  0.0000E+00
  9.6675E-02  2.5373E-09  1.9071E+03  8.7970E-06  8.7970E-06  7.1049E+00  0.0000E+00
  9.6702E-02  2.5303E-09  1.9072E+03  1.3650E-08  1.3650E-08  4.5656E+03  0.0000E+00
