 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  1.6816E-07  1.6016E-17  1.0322E+03  2.0359E-07  1.9763E-07  1.8079E-14  1.2232E-14
  1.7437E-07  1.6332E-17  1.0322E+03  2.0417E-07  1.9778E-07  2.1033E-14  1.4216E-14
  1.8081E-07  1.6654E-17  1.0323E+03  2.0480E-07  1.9794E-07  2.4468E-14  1.6522E-14
  1.8749E-07  1.6982E-17  1.0323E+03  2.0547E-07  1.9811E-07  2.8465E-14  1.9205E-14
  1.9447E-07  1.7323E-17  1.0324E+03  2.0619E-07  1.9829E-07  3.3124E-14  2.2331E-14
  2.0174E-07  1.7674E-17  1.0325E+03  2.0696E-07  1.9849E-07  3.8557E-14  2.5973E-14
  2.0929E-07  1.8032E-17  1.0325E+03  2.0779E-07  1.9870E-07  4.4886E-14  3.0213E-14
  2.1711E-07  1.8398E-17  1.0326E+03  2.0867E-07  1.9893E-07  5.2258E-14  3.5149E-14
  2.2523E-07  1.8770E-17  1.0327E+03  2.0962E-07  1.9917E-07  6.0847E-14  4.0894E-14
  2.3365E-07  1.9150E-17  1.0327E+03  2.1064E-07  1.9943E-07  7.0849E-14  4.7580E-14
  2.4239E-07  1.9538E-17  1.0328E+03  2.1173E-07  1.9971E-07  8.2498E-14  5.5363E-14
  2.5146E-07  1.9934E-17  1.0329E+03  2.1290E-07  2.0001E-07  9.6061E-14  6.4420E-14
  2.6086E-07  2.0338E-17  1.0330E+03  2.1416E-07  2.0034E-07  1.1185E-13  7.4961E-14
  2.7065E-07  2.0752E-17  1.0330E+03  2.1550E-07  2.0068E-07  1.3025E-13  8.7240E-14
  2.8090E-07  2.1181E-17  1.0331E+03  2.1693E-07  2.0105E-07  1.5173E-13  1.0157E-13
  2.9153E-07  2.1620E-17  1.0332E+03  2.1847E-07  2.0145E-07  1.7677E-13  1.1826E-13
  3.0257E-07  2.2067E-17  1.0332E+03  2.2011E-07  2.0188E-07  2.0596E-13  1.3769E-13
  3.1402E-07  2.2523E-17  1.0333E+03  2.2188E-07  2.0234E-07  2.3997E-13  1.6032E-13
  3.2590E-07  2.2989E-17  1.0334E+03  2.2376E-07  2.0283E-07  2.7959E-13  1.8667E-13
  3.3824E-07  2.3464E-17  1.0335E+03  2.2577E-07  2.0336E-07  3.2574E-13  2.1734E-13
  3.5104E-07  2.3949E-17  1.0336E+03  2.2792E-07  2.0392E-07  3.7949E-13  2.5304E-13
  3.6433E-07  2.4445E-17  1.0336E+03  2.3022E-07  2.0453E-07  4.4205E-13  2.9458E-13
  3.7813E-07  2.4950E-17  1.0337E+03  2.3268E-07  2.0518E-07  5.1487E-13  3.4291E-13
  3.9267E-07  2.5457E-17  1.0338E+03  2.3530E-07  2.0588E-07  5.9999E-13  3.9939E-13
  4.0776E-07  2.5975E-17  1.0338E+03  2.3809E-07  2.0662E-07  6.9921E-13  4.6516E-13
  4.2343E-07  2.6504E-17  1.0339E+03  2.4108E-07  2.0741E-07  8.1483E-13  5.4172E-13
  4.3971E-07  2.7043E-17  1.0339E+03  2.4426E-07  2.0827E-07  9.4951E-13  6.3082E-13
  4.5661E-07  2.7593E-17  1.0340E+03  2.4765E-07  2.0918E-07  1.1063E-12  7.3448E-13
  4.7416E-07  2.8154E-17  1.0340E+03  2.5127E-07  2.1015E-07  1.2888E-12  8.5502E-13
  4.9239E-07  2.8727E-17  1.0341E+03  2.5512E-07  2.1119E-07  1.5011E-12  9.9515E-13
  5.1131E-07  2.9312E-17  1.0341E+03  2.5921E-07  2.1230E-07  1.7478E-12  1.1580E-12
  5.3097E-07  2.9908E-17  1.0342E+03  2.6356E-07  2.1349E-07  2.0345E-12  1.3471E-12
  5.5188E-07  3.0469E-17  1.0341E+03  2.6819E-07  2.1475E-07  2.3700E-12  1.5683E-12
  5.7369E-07  3.1033E-17  1.0341E+03  2.7311E-07  2.1610E-07  2.7614E-12  1.8259E-12
  5.9637E-07  3.1607E-17  1.0341E+03  2.7834E-07  2.1753E-07  3.2173E-12  2.1254E-12
  6.1994E-07  3.2192E-17  1.0340E+03  2.8390E-07  2.1905E-07  3.7480E-12  2.4734E-12
  6.4444E-07  3.2788E-17  1.0340E+03  2.8979E-07  2.2068E-07  4.3654E-12  2.8775E-12
  6.6991E-07  3.3395E-17  1.0339E+03  2.9604E-07  2.2241E-07  5.0831E-12  3.3465E-12
  6.9639E-07  3.4013E-17  1.0339E+03  3.0266E-07  2.2425E-07  5.9164E-12  3.8904E-12
  7.2391E-07  3.4642E-17  1.0338E+03  3.0967E-07  2.2620E-07  6.8834E-12  4.5209E-12
  7.5252E-07  3.5284E-17  1.0338E+03  3.1708E-07  2.2827E-07  8.0044E-12  5.2511E-12
  7.8356E-07  3.5909E-17  1.0337E+03  3.2491E-07  2.3046E-07  9.3216E-12  6.1076E-12
  8.1641E-07  3.6535E-17  1.0336E+03  3.3321E-07  2.3277E-07  1.0867E-11  7.1088E-12
  8.5063E-07  3.7171E-17  1.0334E+03  3.4199E-07  2.3521E-07  1.2673E-11  8.2726E-12
  8.8629E-07  3.7818E-17  1.0333E+03  3.5129E-07  2.3781E-07  1.4782E-11  9.6246E-12
