#           wl        cont         all         h2o      planck
    20.5869169  3.7826E+04  2.9715E+04  2.9716E+04  3.7614E+04
    20.5560605  3.8047E+04  2.9279E+04  2.9280E+04  3.7833E+04
    20.5252503  3.8270E+04  3.0034E+04  3.0034E+04  3.8053E+04
    20.4944862  3.8494E+04  2.9337E+04  2.9500E+04  3.8275E+04
    20.4637683  3.8719E+04  2.8333E+04  2.8497E+04  3.8498E+04
    20.4330965  3.8945E+04  2.9384E+04  2.9478E+04  3.8722E+04
    20.4024706  3.9172E+04  3.0412E+04  3.0413E+04  3.8948E+04
    20.3718905  3.9401E+04  3.1288E+04  3.1315E+04  3.9175E+04
    20.3413564  3.9632E+04  3.0592E+04  3.0592E+04  3.9403E+04
    20.3108680  3.9863E+04  2.9978E+04  2.9980E+04  3.9633E+04
    20.2804253  4.0096E+04  3.0866E+04  3.0867E+04  3.9864E+04
    20.2500282  4.0330E+04  3.1186E+04  3.1187E+04  4.0096E+04
    20.2196767  4.0566E+04  3.0894E+04  3.0895E+04  4.0330E+04
    20.1893707  4.0803E+04  3.0770E+04  3.0770E+04  4.0565E+04
    20.1591101  4.1041E+04  3.0865E+04  3.1019E+04  4.0801E+04
    20.1288948  4.1281E+04  3.1839E+04  3.2233E+04  4.1038E+04
    20.0987249  4.1522E+04  3.3551E+04  3.3552E+04  4.1277E+04
    20.0686001  4.1765E+04  3.1838E+04  3.2063E+04  4.1518E+04
    20.0385206  4.2009E+04  3.2736E+04  3.3024E+04  4.1760E+04
    20.0084860  4.2254E+04  3.3810E+04  3.4087E+04  4.2003E+04
    19.9784966  4.2501E+04  3.2744E+04  3.2746E+04  4.2247E+04
    19.9485520  4.2749E+04  3.3452E+04  3.3452E+04  4.2493E+04
    19.9186524  4.2999E+04  3.2864E+04  3.2950E+04  4.2741E+04
    19.8887976  4.3250E+04  3.3139E+04  3.3139E+04  4.2990E+04
    19.8589875  4.3502E+04  3.3333E+04  3.3334E+04  4.3240E+04
    19.8292221  4.3756E+04  3.2374E+04  3.2375E+04  4.3492E+04
    19.7995013  4.4012E+04  3.3810E+04  3.3810E+04  4.3745E+04
    19.7698250  4.4269E+04  3.5825E+04  3.5826E+04  4.4000E+04
    19.7401933  4.4527E+04  3.5121E+04  3.5122E+04  4.4256E+04
    19.7106059  4.4787E+04  3.4886E+04  3.4886E+04  4.4513E+04
    19.6810629  4.5049E+04  3.4618E+04  3.4619E+04  4.4772E+04
    19.6515642  4.5311E+04  3.4040E+04  3.4050E+04  4.5033E+04
    19.6221097  4.5576E+04  3.3751E+04  3.4004E+04  4.5295E+04
    19.5926993  4.5842E+04  3.4283E+04  3.4294E+04  4.5558E+04
    19.5633330  4.6110E+04  3.5124E+04  3.5246E+04  4.5823E+04
    19.5340107  4.6378E+04  3.6453E+04  3.6453E+04  4.6090E+04
    19.5047324  4.6649E+04  3.7124E+04  3.7125E+04  4.6358E+04
    19.4754980  4.6922E+04  3.6584E+04  3.6585E+04  4.6628E+04
    19.4463074  4.7195E+04  3.5921E+04  3.5922E+04  4.6899E+04
    19.4171605  4.7471E+04  3.6621E+04  3.6623E+04  4.7172E+04
    19.3880573  4.7748E+04  3.7550E+04  3.7556E+04  4.7446E+04
    19.3589978  4.8026E+04  3.6455E+04  3.6456E+04  4.7722E+04
    19.3299817  4.8306E+04  3.7580E+04  3.7584E+04  4.8000E+04
    19.3010092  4.8588E+04  3.6086E+04  3.6087E+04  4.8279E+04
    19.2720801  4.8872E+04  3.7478E+04  3.7480E+04  4.8560E+04
    19.2431944  4.9157E+04  3.7481E+04  3.7585E+04  4.8842E+04
    19.2143520  4.9444E+04  3.6534E+04  3.6539E+04  4.9126E+04
    19.1855528  4.9732E+04  3.7433E+04  3.7434E+04  4.9412E+04
    19.1567967  5.0022E+04  3.9974E+04  3.9975E+04  4.9699E+04
    19.1280838  5.0314E+04  3.9099E+04  3.9118E+04  4.9988E+04
    19.0994139  5.0607E+04  4.1369E+04  4.1470E+04  5.0279E+04
    19.0707870  5.0902E+04  3.9494E+04  3.9502E+04  5.0571E+04
    19.0422030  5.1199E+04  3.9438E+04  3.9522E+04  5.0865E+04
    19.0136618  5.1498E+04  3.9894E+04  3.9947E+04  5.1161E+04
    18.9851634  5.1798E+04  3.9457E+04  3.9458E+04  5.1458E+04
    18.9567077  5.2100E+04  4.0036E+04  4.0046E+04  5.1757E+04
    18.9282946  5.2404E+04  4.0700E+04  4.0700E+04  5.2058E+04
    18.8999242  5.2709E+04  4.0146E+04  4.0147E+04  5.2360E+04
    18.8715963  5.3016E+04  4.0987E+04  4.1087E+04  5.2665E+04
    18.8433108  5.3326E+04  4.0700E+04  4.1188E+04  5.2971E+04
    18.8150677  5.3636E+04  4.1028E+04  4.1028E+04  5.3278E+04
    18.7868670  5.3949E+04  4.2234E+04  4.2678E+04  5.3588E+04
    18.7587085  5.4263E+04  4.0809E+04  4.0818E+04  5.3899E+04
    18.7305923  5.4580E+04  4.0626E+04  4.0626E+04  5.4212E+04
    18.7025181  5.4898E+04  4.2762E+04  4.2777E+04  5.4527E+04
    18.6744861  5.5218E+04  4.2939E+04  4.2940E+04  5.4844E+04
    18.6464960  5.5539E+04  4.2270E+04  4.2271E+04  5.5163E+04
    18.6185480  5.5863E+04  4.2793E+04  4.2794E+04  5.5483E+04
    18.5906418  5.6188E+04  4.0689E+04  4.0692E+04  5.5805E+04
    18.5627774  5.6516E+04  4.3975E+04  4.3977E+04  5.6129E+04
    18.5349548  5.6845E+04  4.3788E+04  4.3873E+04  5.6455E+04
    18.5071739  5.7176E+04  4.2184E+04  4.2894E+04  5.6783E+04
    18.4794346  5.7509E+04  4.5233E+04  4.5235E+04  5.7113E+04
    18.4517370  5.7844E+04  4.4950E+04  4.5277E+04  5.7444E+04
    18.4240808  5.8181E+04  4.4985E+04  4.4987E+04  5.7778E+04
    18.3964661  5.8520E+04  4.3202E+04  4.3202E+04  5.8113E+04
    18.3688928  5.8861E+04  4.4889E+04  4.4891E+04  5.8451E+04
    18.3413608  5.9204E+04  4.6048E+04  4.6050E+04  5.8790E+04
    18.3138701  5.9549E+04  4.5203E+04  4.5547E+04  5.9131E+04
    18.2864205  5.9895E+04  4.6074E+04  4.6427E+04  5.9474E+04
    18.2590122  6.0244E+04  4.6648E+04  4.6651E+04  5.9820E+04
    18.2316448  6.0595E+04  4.5864E+04  4.5889E+04  6.0167E+04
    18.2043186  6.0948E+04  4.8038E+04  4.8044E+04  6.0516E+04
    18.1770332  6.1302E+04  4.5572E+04  4.5626E+04  6.0867E+04
    18.1497888  6.1659E+04  4.6635E+04  4.6643E+04  6.1220E+04
    18.1225852  6.2018E+04  4.8387E+04  4.8578E+04  6.1575E+04
    18.0954224  6.2379E+04  4.8388E+04  4.8389E+04  6.1933E+04
    18.0683003  6.2742E+04  4.7423E+04  4.7427E+04  6.2292E+04
    18.0412188  6.3108E+04  4.7108E+04  4.7109E+04  6.2653E+04
    18.0141779  6.3475E+04  4.9351E+04  4.9352E+04  6.3017E+04
    17.9871776  6.3844E+04  5.3265E+04  5.3269E+04  6.3382E+04
    17.9602177  6.4216E+04  4.7135E+04  4.7136E+04  6.3750E+04
    17.9332983  6.4590E+04  4.9142E+04  4.9145E+04  6.4120E+04
    17.9064192  6.4965E+04  5.0376E+04  5.0396E+04  6.4491E+04
    17.8795803  6.5343E+04  5.0014E+04  5.0036E+04  6.4866E+04
    17.8527818  6.5724E+04  5.0430E+04  5.0432E+04  6.5242E+04
    17.8260233  6.6106E+04  5.0852E+04  5.0855E+04  6.5620E+04
    17.7993050  6.6490E+04  5.1437E+04  5.1785E+04  6.6000E+04
    17.7726267  6.6877E+04  5.0970E+04  5.1225E+04  6.6383E+04
    17.7459884  6.7266E+04  5.0952E+04  5.1110E+04  6.6768E+04
    17.7193901  6.7658E+04  5.1624E+04  5.1626E+04  6.7155E+04
    17.6928316  6.8051E+04  5.3129E+04  5.3132E+04  6.7544E+04
    17.6663129  6.8447E+04  5.1005E+04  5.1007E+04  6.7936E+04
    17.6398339  6.8845E+04  5.1322E+04  5.1346E+04  6.8329E+04
    17.6133947  6.9245E+04  5.3380E+04  5.3384E+04  6.8725E+04
    17.5869951  6.9648E+04  5.1390E+04  5.1396E+04  6.9124E+04
    17.5606350  7.0053E+04  5.4813E+04  5.4991E+04  6.9524E+04
    17.5343144  7.0460E+04  4.9874E+04  5.0613E+04  6.9927E+04
    17.5080333  7.0870E+04  5.5455E+04  5.5485E+04  7.0332E+04
    17.4817916  7.1282E+04  5.4352E+04  5.4353E+04  7.0740E+04
    17.4555893  7.1697E+04  5.3205E+04  5.3207E+04  7.1150E+04
    17.4294262  7.2113E+04  5.6623E+04  5.6685E+04  7.1562E+04
    17.4033023  7.2532E+04  5.5235E+04  5.5764E+04  7.1976E+04
    17.3772175  7.2954E+04  5.5745E+04  5.5775E+04  7.2393E+04
    17.3511719  7.3378E+04  5.5161E+04  5.5260E+04  7.2812E+04
    17.3251653  7.3805E+04  5.6290E+04  5.6350E+04  7.3234E+04
    17.2991977  7.4234E+04  5.6388E+04  5.6392E+04  7.3658E+04
    17.2732690  7.4665E+04  5.8427E+04  5.8431E+04  7.4085E+04
    17.2473792  7.5099E+04  5.3713E+04  5.3716E+04  7.4514E+04
    17.2215281  7.5535E+04  5.7308E+04  5.7314E+04  7.4945E+04
    17.1957158  7.5974E+04  5.7146E+04  5.7151E+04  7.5379E+04
    17.1699422  7.6416E+04  5.7802E+04  5.7805E+04  7.5816E+04
    17.1442073  7.6859E+04  5.7767E+04  5.7769E+04  7.6255E+04
    17.1185109  7.7306E+04  5.8014E+04  5.8017E+04  7.6696E+04
    17.0928530  7.7755E+04  5.8494E+04  5.8497E+04  7.7140E+04
    17.0672336  7.8207E+04  6.1933E+04  6.1938E+04  7.7586E+04
    17.0416526  7.8661E+04  6.0496E+04  6.0499E+04  7.8036E+04
    17.0161099  7.9118E+04  6.2036E+04  6.2040E+04  7.8487E+04
    16.9906055  7.9577E+04  5.8788E+04  5.8791E+04  7.8941E+04
    16.9651393  8.0039E+04  6.2272E+04  6.2276E+04  7.9398E+04
    16.9397113  8.0504E+04  6.2068E+04  6.2073E+04  7.9858E+04
    16.9143215  8.0972E+04  6.2085E+04  6.2101E+04  8.0320E+04
    16.8889696  8.1442E+04  6.2370E+04  6.2375E+04  8.0784E+04
    16.8636558  8.1915E+04  6.0518E+04  6.0563E+04  8.1252E+04
    16.8383799  8.2390E+04  5.9624E+04  6.0257E+04  8.1722E+04
    16.8131419  8.2869E+04  6.2617E+04  6.2831E+04  8.2194E+04
    16.7879417  8.3350E+04  6.7122E+04  6.7185E+04  8.2670E+04
    16.7627793  8.3833E+04  6.2921E+04  6.2929E+04  8.3148E+04
    16.7376546  8.4320E+04  6.3014E+04  6.3020E+04  8.3629E+04
    16.7125676  8.4810E+04  6.1872E+04  6.1931E+04  8.4113E+04
    16.6875182  8.5302E+04  6.6321E+04  6.6928E+04  8.4599E+04
    16.6625063  8.5797E+04  6.5331E+04  6.5353E+04  8.5088E+04
    16.6375319  8.6295E+04  6.3620E+04  6.3969E+04  8.5580E+04
    16.6125949  8.6795E+04  6.5211E+04  6.6036E+04  8.6075E+04
    16.5876953  8.7299E+04  6.5340E+04  6.5345E+04  8.6572E+04
    16.5628330  8.7806E+04  6.3926E+04  6.3930E+04  8.7073E+04
    16.5380080  8.8315E+04  6.7114E+04  6.7121E+04  8.7576E+04
    16.5132202  8.8827E+04  6.8336E+04  6.8344E+04  8.8082E+04
    16.4884696  8.9343E+04  6.6254E+04  6.6262E+04  8.8592E+04
    16.4637560  8.9861E+04  6.8286E+04  6.8292E+04  8.9104E+04
    16.4390795  9.0382E+04  6.8712E+04  6.8720E+04  8.9618E+04
    16.4144400  9.0906E+04  7.1135E+04  7.1141E+04  9.0136E+04
    16.3898374  9.1434E+04  6.5717E+04  6.5721E+04  9.0657E+04
    16.3652717  9.1964E+04  7.2669E+04  7.2705E+04  9.1181E+04
    16.3407428  9.2497E+04  7.1997E+04  7.2005E+04  9.1708E+04
    16.3162507  9.3034E+04  7.0871E+04  7.0877E+04  9.2238E+04
    16.2917953  9.3573E+04  7.1803E+04  7.1812E+04  9.2770E+04
    16.2673765  9.4116E+04  6.9764E+04  6.9770E+04  9.3306E+04
    16.2429943  9.4661E+04  7.3290E+04  7.3302E+04  9.3845E+04
    16.2186487  9.5210E+04  6.8728E+04  6.8733E+04  9.4387E+04
    16.1943396  9.5762E+04  7.4176E+04  7.4185E+04  9.4932E+04
    16.1700669  9.6317E+04  7.1457E+04  7.1499E+04  9.5480E+04
    16.1458306  9.6875E+04  7.3430E+04  7.3443E+04  9.6032E+04
    16.1216306  9.7437E+04  7.3038E+04  7.3085E+04  9.6586E+04
    16.0974669  9.8001E+04  7.3034E+04  7.3043E+04  9.7144E+04
    16.0733394  9.8570E+04  7.4468E+04  7.4485E+04  9.7705E+04
    16.0492481  9.9141E+04  7.4593E+04  7.5172E+04  9.8269E+04
    16.0251928  9.9715E+04  7.5577E+04  7.6562E+04  9.8836E+04
    16.0011737  1.0029E+05  7.2821E+04  7.3103E+04  9.9406E+04
    15.9771905  1.0087E+05  7.5053E+04  7.5156E+04  9.9980E+04
    15.9532433  1.0146E+05  7.8321E+04  7.9102E+04  1.0056E+05
    15.9293319  1.0205E+05  7.4577E+04  7.5125E+04  1.0114E+05
    15.9054565  1.0264E+05  7.6835E+04  7.7573E+04  1.0172E+05
    15.8816167  1.0323E+05  7.8354E+04  7.8435E+04  1.0231E+05
    15.8578128  1.0383E+05  7.7110E+04  7.7121E+04  1.0290E+05
    15.8340445  1.0443E+05  8.1910E+04  8.1928E+04  1.0349E+05
    15.8103118  1.0504E+05  7.9670E+04  7.9680E+04  1.0409E+05
    15.7866147  1.0564E+05  8.2326E+04  8.2345E+04  1.0469E+05
    15.7629531  1.0626E+05  7.9707E+04  7.9716E+04  1.0529E+05
    15.7393270  1.0687E+05  8.1794E+04  8.1811E+04  1.0590E+05
    15.7157363  1.0749E+05  8.2008E+04  8.2022E+04  1.0651E+05
    15.6921810  1.0811E+05  8.3332E+04  8.3347E+04  1.0713E+05
    15.6686609  1.0874E+05  8.5743E+04  8.5759E+04  1.0774E+05
    15.6451762  1.0937E+05  7.9914E+04  7.9923E+04  1.0836E+05
    15.6217266  1.1000E+05  8.1985E+04  8.2001E+04  1.0899E+05
    15.5983121  1.1064E+05  8.5653E+04  8.5676E+04  1.0962E+05
    15.5749328  1.1128E+05  8.4276E+04  8.4518E+04  1.1025E+05
    15.5515885  1.1192E+05  8.2683E+04  8.2728E+04  1.1088E+05
    15.5282792  1.1257E+05  8.4671E+04  8.4691E+04  1.1152E+05
