#           wl        cont         all         h2o      planck
    18.5071739  5.5649E+04  4.4175E+04  4.4493E+04  5.6783E+04
    18.4794346  5.5973E+04  4.6284E+04  4.6285E+04  5.7113E+04
    18.4517370  5.6299E+04  4.7123E+04  4.7277E+04  5.7444E+04
    18.4240808  5.6627E+04  4.4533E+04  4.4535E+04  5.7778E+04
    18.3964661  5.6956E+04  4.5249E+04  4.5250E+04  5.8113E+04
    18.3688928  5.7288E+04  4.7196E+04  4.7200E+04  5.8451E+04
    18.3413608  5.7621E+04  4.6711E+04  4.6716E+04  5.8790E+04
    18.3138701  5.7956E+04  4.4804E+04  4.5123E+04  5.9131E+04
    18.2864205  5.8293E+04  4.7214E+04  4.7364E+04  5.9474E+04
    18.2590122  5.8633E+04  4.7040E+04  4.7043E+04  5.9820E+04
    18.2316448  5.8974E+04  4.8417E+04  4.8571E+04  6.0167E+04
    18.2043186  5.9317E+04  4.7818E+04  4.7841E+04  6.0516E+04
    18.1770332  5.9662E+04  4.3939E+04  4.3993E+04  6.0867E+04
    18.1497888  6.0009E+04  4.6118E+04  4.6270E+04  6.1220E+04
    18.1225852  6.0358E+04  4.8108E+04  4.8201E+04  6.1575E+04
    18.0954224  6.0709E+04  4.7454E+04  4.7455E+04  6.1933E+04
    18.0683003  6.1062E+04  4.7168E+04  4.7171E+04  6.2292E+04
    18.0412188  6.1417E+04  4.8036E+04  4.8038E+04  6.2653E+04
    18.0141779  6.1774E+04  4.9411E+04  4.9413E+04  6.3017E+04
    17.9871776  6.2134E+04  5.1938E+04  5.1944E+04  6.3382E+04
    17.9602177  6.2495E+04  4.8800E+04  4.8804E+04  6.3750E+04
    17.9332983  6.2858E+04  5.0286E+04  5.0291E+04  6.4120E+04
    17.9064192  6.3224E+04  5.0909E+04  5.0913E+04  6.4491E+04
    17.8795803  6.3591E+04  5.1493E+04  5.1496E+04  6.4866E+04
    17.8527818  6.3961E+04  5.0476E+04  5.0479E+04  6.5242E+04
    17.8260233  6.4333E+04  5.0351E+04  5.0362E+04  6.5620E+04
    17.7993050  6.4707E+04  5.3074E+04  5.3685E+04  6.6000E+04
    17.7726267  6.5083E+04  5.0933E+04  5.1589E+04  6.6383E+04
    17.7459884  6.5461E+04  5.2800E+04  5.3348E+04  6.6768E+04
    17.7193901  6.5842E+04  5.0668E+04  5.0670E+04  6.7155E+04
    17.6928316  6.6224E+04  5.3723E+04  5.3729E+04  6.7544E+04
    17.6663129  6.6609E+04  5.3255E+04  5.3259E+04  6.7936E+04
    17.6398339  6.6996E+04  5.2410E+04  5.2470E+04  6.8329E+04
    17.6133947  6.7386E+04  5.2501E+04  5.2506E+04  6.8725E+04
    17.5869951  6.7777E+04  5.0785E+04  5.0788E+04  6.9124E+04
    17.5606350  6.8171E+04  5.3363E+04  5.3867E+04  6.9524E+04
    17.5343144  6.8567E+04  5.2268E+04  5.2664E+04  6.9927E+04
    17.5080333  6.8965E+04  5.4542E+04  5.5023E+04  7.0332E+04
    17.4817916  6.9366E+04  5.4374E+04  5.4378E+04  7.0740E+04
    17.4555893  6.9769E+04  5.3640E+04  5.3643E+04  7.1150E+04
    17.4294262  7.0174E+04  5.7392E+04  5.7543E+04  7.1562E+04
    17.4033023  7.0581E+04  5.5471E+04  5.5802E+04  7.1976E+04
    17.3772175  7.0991E+04  5.5665E+04  5.5829E+04  7.2393E+04
    17.3511719  7.1404E+04  5.4637E+04  5.4733E+04  7.2812E+04
    17.3251653  7.1818E+04  5.6663E+04  5.6681E+04  7.3234E+04
    17.2991977  7.2235E+04  5.6369E+04  5.6379E+04  7.3658E+04
    17.2732690  7.2655E+04  5.8355E+04  5.8384E+04  7.4085E+04
    17.2473792  7.3076E+04  5.5293E+04  5.5298E+04  7.4514E+04
    17.2215281  7.3501E+04  5.7321E+04  5.7329E+04  7.4945E+04
    17.1957158  7.3927E+04  5.7540E+04  5.7547E+04  7.5379E+04
    17.1699422  7.4357E+04  5.9460E+04  5.9465E+04  7.5816E+04
    17.1442073  7.4788E+04  5.7647E+04  5.7652E+04  7.6255E+04
    17.1185109  7.5222E+04  6.0328E+04  6.0334E+04  7.6696E+04
    17.0928530  7.5659E+04  5.8831E+04  5.8837E+04  7.7140E+04
    17.0672336  7.6098E+04  6.1576E+04  6.1584E+04  7.7586E+04
    17.0416526  7.6540E+04  6.1421E+04  6.1431E+04  7.8036E+04
    17.0161099  7.6984E+04  6.2185E+04  6.2194E+04  7.8487E+04
    16.9906055  7.7430E+04  6.0640E+04  6.0651E+04  7.8941E+04
    16.9651393  7.7880E+04  6.3711E+04  6.3724E+04  7.9398E+04
    16.9397113  7.8332E+04  6.2173E+04  6.2181E+04  7.9858E+04
    16.9143215  7.8786E+04  6.3846E+04  6.3872E+04  8.0320E+04
    16.8889696  7.9243E+04  6.1866E+04  6.1881E+04  8.0784E+04
    16.8636558  7.9703E+04  6.3444E+04  6.3492E+04  8.1252E+04
    16.8383799  8.0165E+04  5.9982E+04  6.0582E+04  8.1722E+04
    16.8131419  8.0630E+04  6.3095E+04  6.3402E+04  8.2194E+04
    16.7879417  8.1098E+04  6.7893E+04  6.7914E+04  8.2670E+04
    16.7627793  8.1568E+04  6.4046E+04  6.4058E+04  8.3148E+04
    16.7376546  8.2041E+04  6.4331E+04  6.4352E+04  8.3629E+04
    16.7125676  8.2517E+04  6.4635E+04  6.4877E+04  8.4113E+04
    16.6875182  8.2995E+04  6.5825E+04  6.6622E+04  8.4599E+04
    16.6625063  8.3477E+04  6.5991E+04  6.6573E+04  8.5088E+04
    16.6375319  8.3960E+04  6.5282E+04  6.5933E+04  8.5580E+04
    16.6125949  8.4447E+04  6.5391E+04  6.6057E+04  8.6075E+04
    16.5876953  8.4937E+04  6.7856E+04  6.8073E+04  8.6572E+04
    16.5628330  8.5429E+04  6.4667E+04  6.4672E+04  8.7073E+04
    16.5380080  8.5924E+04  6.7484E+04  6.7496E+04  8.7576E+04
    16.5132202  8.6422E+04  6.9489E+04  6.9506E+04  8.8082E+04
    16.4884696  8.6923E+04  6.6824E+04  6.6834E+04  8.8592E+04
    16.4637560  8.7427E+04  6.9174E+04  6.9184E+04  8.9104E+04
    16.4390795  8.7934E+04  6.9863E+04  6.9877E+04  8.9618E+04
    16.4144400  8.8443E+04  7.2743E+04  7.2754E+04  9.0136E+04
    16.3898374  8.8956E+04  6.6839E+04  6.6846E+04  9.0657E+04
    16.3652717  8.9471E+04  7.1988E+04  7.2019E+04  9.1181E+04
    16.3407428  8.9989E+04  7.5284E+04  7.5301E+04  9.1708E+04
    16.3162507  9.0511E+04  7.0501E+04  7.0512E+04  9.2238E+04
    16.2917953  9.1035E+04  7.5122E+04  7.5147E+04  9.2770E+04
